char1 char2 categories default_score modifier score
Α α [Caps,] 1.0 0.0 1.0
Β β [Caps,] 1.0 0.0 1.0
Γ γ [Caps,] 1.0 0.0 1.0
Δ δ [Caps,] 1.0 0.0 1.0
Ε ε [Caps,] 1.0 0.0 1.0
Ζ ζ [Caps,] 1.0 0.0 1.0
Η η [Caps,] 1.0 0.0 1.0
Θ θ [Caps,] 1.0 0.0 1.0
θ θ2 [Visual,Use,] 0.7 0.0 0.7
Ι ι [Caps,] 1.0 0.0 1.0
Κ κ [Caps,] 1.0 0.0 1.0
Λ λ [Caps,] 1.0 0.0 1.0
Μ μ [Caps,] 1.0 0.0 1.0
Ν ν [Caps,] 1.0 0.0 1.0
Ξ ξ [Caps,] 1.0 0.0 1.0
Ο ο [Caps,] 1.0 0.0 1.0
Π π [Caps,] 1.0 0.0 1.0
Ρ ρ [Caps,] 1.0 0.0 1.0
Σ σ [Caps,] 1.0 0.0 1.0
Τ τ [Caps,] 1.0 0.0 1.0
Υ υ [Caps,] 1.0 0.0 1.0
Φ φ [Caps,] 1.0 0.0 1.0
Χ χ [Caps,] 1.0 0.0 1.0
Ψ ψ [Caps,] 1.0 0.0 1.0
Ω ω [Caps,] 1.0 0.0 1.0
^ ê [Visual,] 0.5 0.0 0.5
/ | [Visual,] 0.5 0.0 0.5
\ | [Visual,] 0.5 0.0 0.5
μ ¤ [Group,] 0.6 0.0 0.6
& § [Use,] 0.7 -0.2 0.49999999999999994
° 0 [Visual,Use,] 0.7 0.0 0.7
® © [Group,Visual,] 0.6 0.0 0.6
™ ® [Group,Visual,] 0.6 0.0 0.6
© ™ [Group,Visual,] 0.6 0.0 0.6
˝d ” [Visual,] 0.5 0.0 0.5
‘ ‹ [Group,] 0.6 0.0 0.6
’ › [Group,] 0.6 0.0 0.6
‹ < [Visual,] 0.5 0.0 0.5
› > [Visual,] 0.5 0.0 0.5
é è [Custom,] 0.0 0.2 0.2
é à [Custom,] 0.0 0.2 0.2
é ê [Custom,] 0.0 0.2 0.2
é ù [Custom,] 0.0 0.1 0.1
é ç [Custom,] 0.0 0.1 0.1
è é [Custom,] 0.0 0.2 0.2
è à [Custom,] 0.0 0.2 0.2
è ê [Custom,] 0.0 0.2 0.2
è ù [Custom,] 0.0 0.1 0.1
è ç [Custom,] 0.0 0.1 0.1
à é [Custom,] 0.0 0.2 0.2
à è [Custom,] 0.0 0.2 0.2
à ê [Custom,] 0.0 0.2 0.2
à ù [Custom,] 0.0 0.1 0.1
à ç [Custom,] 0.0 0.1 0.1
ê é [Custom,] 0.0 0.2 0.2
ê è [Custom,] 0.0 0.2 0.2
ê à [Custom,] 0.0 0.2 0.2
ê ù [Custom,] 0.0 0.1 0.1
ê ç [Custom,] 0.0 0.1 0.1
# @ [Use,] 0.7 0.0 0.7
+ = [Group,] 0.6 0.0 0.6
± - [Visual,] 0.5 0.0 0.5
- / [Group,] 0.6 0.0 0.6
+ * [Group,] 0.6 0.0 0.6
× √ [Group,] 0.6 0.0 0.6
½ / [Visual,] 0.5 0.0 0.5
% / [Visual,] 0.5 0.0 0.5
≤ = [Group,] 0.6 -0.1 0.5
\ " [Group,] 0.6 0.0 0.6
\ ^ [Group,] 0.6 0.0 0.6
\ ~ [Group,] 0.6 0.0 0.6
\ & [Group,] 0.6 0.0 0.6
\ $ [Group,] 0.6 0.0 0.6
